Date,Merchant,Amount,Category
2026-04-01,ACME CORP PAYROLL,95000.00,Salary
2026-04-02,SPOTIFY*PREMIUM,119.00,Subscriptions
2026-04-03,NETFLIX.COM,649.00,Subscriptions
2026-04-04,DISNEY HOTSTAR PREMIUM,1499.00,Subscriptions
2026-04-05,AMAZON PRIME MEMBERSHIP,179.00,Subscriptions
2026-04-06,ATD*UPI/AUTOPAY/OPENAI CHATGPT,1650.00,Subscriptions
2026-04-07,AUDIBLE PREMIUM PLUS,199.00,Books
2026-04-08,CULT.FIT*MEMBERSHIP,2499.00,Fitness
2026-04-09,ICLOUD STORAGE 200GB,75.00,Subscriptions
2026-04-10,ADOBE CREATIVE CLOUD,1675.00,Subscriptions
2026-04-10,AIRTEL POSTPAID,799.00,Bills
2026-04-15,TATA POWER BLR,2100.00,Bills
2026-04-20,ACT FIBERNET,1199.00,Bills
2026-04-03,BLINKIT-GROCERY,850.00,Groceries
2026-04-10,BIGBASKET WEEKLY,1450.00,Groceries
2026-04-17,BLINKIT-GROCERY,920.00,Groceries
2026-04-24,BIGBASKET,1280.00,Groceries
2026-04-02,SWIGGY-LUNCH,220.00,Food
2026-04-06,ZOMATO-DINNER,380.00,Food
2026-04-09,SWIGGY-LUNCH,195.00,Food
2026-04-13,ZOMATO-DINNER,410.00,Food
2026-04-16,SWIGGY-LUNCH,230.00,Food
2026-04-20,ZOMATO-DINNER,395.00,Food
2026-04-23,SWIGGY-LUNCH,215.00,Food
2026-04-27,ZOMATO-DINNER,360.00,Food
2026-04-04,UBER INDIA TRIP-ID-A1,280.00,Transport
2026-04-08,UBER INDIA TRIP-ID-A2,310.00,Transport
2026-04-12,UBER INDIA TRIP-ID-A3,195.00,Transport
2026-04-15,BMRC METRO TOP-UP,500.00,Transport
2026-04-22,UBER INDIA TRIP-ID-A4,240.00,Transport
2026-04-28,UBER INDIA TRIP-ID-A5,220.00,Transport
